index,id,vendor,playbook_name,playbook_description,tags,steps,actuator,step_types,step_names
1232,p1232,Palo_Cortex,SOC_Block_Domain_-_Trend_Micro_Apex_One,This playbook blocks domains using Trend Micro Apex One.\nThe playbook checks whether the Trend Micro Apex One integration is enabled  whether the Domain input has been provided and if so  blocks the domain.,[],8,,,"['', 'Is Trend Micro Apex One enabled?', 'Block Domain', 'Done', 'Check if Domain input was provided', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Trend Micro Apex Block Domain']"
1233,p1233,Palo_Cortex,SOC_Block_Domain_-_Zscaler,This playbook blocks domains using Zscaler.\nThe playbook checks whether the Zscaler integration is enabled  whether the Domain input has been provided and if so  blocks the domain.,[],8,,,"['', 'Is Zscaler enabled?', 'Block Domain', 'Done', 'Check if Domain input was provided', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Zscaler Block Domain']"
1234,p1234,Palo_Cortex,SOC_Block_Email_-_Generic_v2,This playbook will block emails at your mail relay integration.\n\nSupported integrations for this playbook:\n* Mimecast\n* FireEye Email Security (EX)\n* Cisco Email Security\n* Symantec Email Security\n,[],21,,,"['', 'Done', 'Symantec block Email', 'Is FireEye Email Security (EX) Available?', 'Is Mimecast v2 Available?', 'FireEye Update Blocklist', 'Mimecast - Block Sender Policy', 'Mimecast', 'FireEye Email Security (EX)', 'Symantec Email Security', 'Cisco Security Management Appliance', 'Is Cisco Security Management Appliance Available?', 'Cisco SMA - Append to Blocklist', 'Has emails to block?', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Cisco SMA Email Block List', 'Run Mode?', 'Shadow: FireEye Email Block List', 'Run Mode?', 'Shadow: Mimecast Email Block List']"
1235,p1235,Palo_Cortex,SOC_Block_File_-_Carbon_Black_Response,"This playbook receives an MD5 hash and adds it to the block list in Carbon Black Enterprise Response. Files with that MD5 hash are blocked from execution on the managed endpoints. If the hash is already on the block list  no action is taken on the MD5.\n\nThe playbook uses the integration ''VMware Carbon Black EDR v2"".",[],8,,,"['', 'Get a list of blacklisted hashes', 'Is Carbon Black Enterprise Response enabled?', 'Is there an MD5 to block?', 'Done', 'Run Mode?', 'Shadow: Carbon Black Ban MD5 Hash', 'Foundation - Error Handling']"
1236,p1236,Palo_Cortex,SOC_Block_File_-_Cybereason,This playbook accepts an MD5 hash and blocks the file using the Cybereason integration.,[],8,,,"['', 'Is Cybereason integration enabled?', 'Is there an MD5 to block?', 'Done', 'Cybereason Prevent File', 'Run Mode?', 'Foundation - Error Handling', 'Shadow: Cybereason Ban File']"
1237,p1237,Palo_Cortex,SOC_Block_File_-_Cylance_Protect_v2,This playbook accepts a SHA256 hash and adds the hash to the Global Quarantine list using the Cylance Protect v2 integration.,[],8,,,"['', 'Is Cylance Protect v2 enabled?', 'Is there a SHA256 to block?', 'Done', 'Add hash to Global Quarantine list', 'Run Mode?', 'Shadow: Cylance Add Hash to Global Quarantine list', 'Foundation - Error Handling']"
1238,p1238,Palo_Cortex,SOC_Block_File_-_Generic_v2,This playbook is used to block files from running on endpoints. \nThis playbook supports the following integrations:\n- Palo Alto Networks Traps\n- Palo Alto Networks Cortex XDR\n- Cybereason\n- Carbon Black Enterprise Response\n- Cylance Protect v2\n- Crowdstrike Falcon\n- Microsoft Defender for Endpoint.,[],14,,,"['', 'Done', 'Cybereason', 'Carbon Black Enterprise Response', 'Cylance Protect v2', 'Palo Alto Cortex XDR', 'CrowdStrike Falcon', 'Microsoft Defender For Endpoint', 'SOC CrowdStrike Falcon - Block File', 'SOC MDE - Block File', 'SOC Cortex XDR - Block File', 'SOC Block File - Carbon Black Response', 'SOC Block File - Cybereason', 'SOC Block File - Cylance Protect v2']"
1239,p1239,Palo_Cortex,SOC_Block_Indicators_-_Generic_v3,This playbook blocks malicious indicators using all integrations that are enabled  using the following sub-playbooks:\n\n- Block URL - Generic v2\n- Block Account - Generic v2\n- Block IP - Generic v3\n- Block File - Generic v2\n- Block Email - Generic v2\n- Block Domain - Generic v2.,[],18,,,"['', 'Tag Indicators', 'Block indicators', 'Done', 'Tag bad indicators', 'Which indicators would you like to block?', 'Block Indicators Automatically?', 'Set indicators to block - Manual', 'Set indicators to block - Auto', 'Has indicators to block?', 'Tag received from inputs?', 'Are there indicators to block?', 'SOC Block Email - Generic v2', 'SOC Block Domain - Generic v2', 'SOC Block URL - Generic v2', 'SOC Block Account - Generic v2', 'SOC Block File - Generic v2', 'SOC Block IP - Generic v2']"
1240,p1240,Palo_Cortex,SOC_Block_IP_-_Generic_v2,Deprecated. Use the `Block IP - Generic v3` playbook instead. \nThis playbook blocks malicious IPs using all integrations that are enabled.\n\nSupported integrations for this playbook:\n* Check Point Firewall\n* Palo Alto Networks Minemeld\n * Palo Alto Networks PAN-OS\n* Zscaler\n* FortiGate,[],25,,,"['', 'Done', 'Block IPs', 'Block IP with Check Point Firewall', 'Is Check Point Firewall enabled?', 'Is there an IP to block?', 'Is Zscaler enabled?', 'Block IP with Zscaler', 'PAN-OS - Block IP and URL - External Dynamic List', 'PAN-OS', 'CheckPoint FW', 'Zscaler', 'PAN-OS DAG Configuration', 'Use External Dynamic List?', 'Use Dynamic Address Group?', 'Fortinet', 'Is FortiGate enabled?', 'FortiGate Ban IP ', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Fortigate Ban IP', 'Run Mode?', 'Shadow: Zscaler Block IP', 'Run Mode?', 'Shadow: Check Point Block IP']"
1241,p1241,Palo_Cortex,SOC_Block_IP_-_Generic_v3,This playbook blocks malicious IP addresses using all integrations that are enabled. The direction of the traffic that will be blocked is determined by the XSOAR user (and set by default to outgoing)\nNote the following:\n-  some of those integrations require specific parameters to run  which are based on the playbook inputs. Also  certain integrations use FW rules or appended network objects.\n- Note that the appended network objects should be specified in blocking rules inside the system later on. \n\n\nSupported integrations for this playbook [Network security products such as FW/WAF/IPs/etc.]: \n\n* Check Point Firewall\n* Palo Alto Networks PAN-OS\n* Zscaler\n* FortiGate\n* Aria Packet Intelligence\n* Cisco Firepower \n * Cisco Secure Cloud Analytics\n* Cisco ASA\n* Akamai WAF\n* F5 SilverLine\n* ThreatX\n * Signal Sciences WAF\n* Sophos Firewall.,[],108,,,"['', 'Done', 'Block IPs', 'Is Check Point Firewall enabled?', 'Is there an IP to block?', 'Is Zscaler enabled?', 'Block IP with Zscaler', 'PAN-OS', 'CheckPoint FW', 'Zscaler', 'Use Custom Block Rules?', 'Use Static Address Group?', 'Use External Dynamic List?', 'Use Dynamic Address Group?', 'Fortinet', 'Is FortiGate enabled?', 'FortiGate Ban IP ', 'Checkpoint - Block IP - Custom Block Rule', 'F5 Silverline', 'F5 Silverline - add IP to deny list ', 'Is F5 Silverline enabled?', 'Are there IPs in Inputs?', 'Are there any Malicious IPs?', 'Append Context List with IPs', 'User Verification Prompt', 'Is User Verification required?', 'Analyst Verification Prompt ', 'Are there any Suspicious IPs?', 'Append Context List with IPs', 'Finalize Verdict For IP/s', 'Enrich Indicators', 'Cisco ASA', 'Is Cisco ASA enabled?', 'Cisco ASA - Create Blocking Rule', 'Is Cisco Secure Cloud Analytics enabled?', 'Cisco Secure Cloud Analytics - Add IP to Block List', 'Cisco Secure Cloud Analytics', 'Is Cisco Firepower enabled?', 'Cisco Firepower ', 'Akamai WAF', 'Is Akamai WAF enabled?', 'Akamai WAF - Add IP to a block list', 'ThreatX', 'Is ThreatX enabled?', 'ThreatX - Block IP for 30 min', 'Signal Sciences WAF ', 'Is Signal Sciences WAF  enabled?', 'Is Signal Sciences WAF   - Blacklist IPs', 'Sophos Firewall', 'ARIA Packet Intelligence - Blacklist IPs', 'Is Sophos Firewall enabled?', 'Is ARIA Packet Intelligence enabled?', 'ARIA Packet Intelligence ', 'Check if there are internal IP addresses', 'Append Context List with Input IPs', 'Re-set the block list [Inputs]', 'Cisco FirePower- Append network group object', 'Re-set the block list [Inputs]', 'Re-set the block list [Malicious]', 'Re-set the block list [Suspicious]', 'ThreatX - add IP to a block list', 'Sophos Firewall - Block IP', 'Are There Any Internal IPs?', 'No IP to block', 'Analyst Verification Prompt (without IP Internal List)', 'Should Inputs be enriched?', 'Append Internal IPs to a possible block list', 'Re-set the block list [Internal Address]', 'Update Indicator Tag for EDL', 'EDL/EIS', 'Create IP indicators in the system', 'Prisma SASE', 'Prisma SASE - Block IP', 'Is Prisma SASE enabled?', 'Foundation - Error Handling', 'SOC PAN-OS DAG Configuration', 'SOC PAN-OS - Block IP - Custom Block Rule', 'SOC PAN-OS - Block IP - Static Address Group', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom', 'Shadow Run?', 'Print To WarRoom']"
1242,p1242,Palo_Cortex,SOC_Block_URL_-_Generic_v2,This playbook blocks malicious URLs using all integrations that are enabled.\n\nSupported integrations for this playbook:\n* Palo Alto Networks PAN-OS\n* Zscaler\n* Sophos\n* Forcepoint\n* Checkpoint\n* Netcraft.,[],39,,,"['', 'Done', 'Block URLs', 'Is there a URL to block?', 'Is Zscaler enabled?', 'Block URL with Zscaler', 'Checkpoint', 'Zscaler', 'Use EDL?', 'Is CheckPoint Integration \\nAavailable?', 'Checkpoint - Block URL', 'Sophos Firewall - Block URL', 'No URL was definded', 'Sophos', 'Is Sophos Integration Enabled?', 'EDL', 'Update Tag For URLs', 'User Verification', ""Append the URLs' blocking list"", 'Forcepoint', 'Is Forcepoint Integration Enabled?', ""Forcepoint - Add URL's to a specific category"", 'Is User Verification Is Required?', 'Set Input URLs as Blocklist.', 'Netcraft', 'Is Netcraft Integration Enabled?', 'Block URL with Netcraft', 'Prisma SASE', 'Is Prisma SASE Enabled?', 'Prisma SASE - Block URL', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Netcraft Block URL', 'Run Mode?', 'Shadow: PAN-OS Tag URLs', 'Run Mode?', 'Shadow: Zscaler Block URL', 'Run Mode?', 'Shadow: Force Add URL to Category']"
1243,p1243,Palo_Cortex,SOC_Cloud_IAM_Enrichment_-_Generic,This playbook is responsible for collecting and enriching data on Identity Access Management (IAM) in cloud environments (AWS  Azure  and GCP).,[],26,,,"['', 'Azure Enrichment Done', 'Select cloud provider', 'Azure IAM - Get user information', 'Azure IAM - List risky user history', 'Azure IAM - List user groups', 'MSGraph User ID exists?', 'Azure Enrichment ', 'AWS IAM - Get user information', 'AWS IAM - List user access keys', 'AWS IAM - List user groups', 'AWS IAM - List user attached policies', 'AWS IAM - List user inline policies', 'AWS Enrichment', 'AWS Enrichment Done', 'GCP Enrichment', 'Check the user type', 'G Suite - Get user information', 'G Suite - List user role assinments', 'GCP IAM - Get service account information', ""GCP IAM - List roles for the user's project ID"", 'GCP IAM - List service account access keys', 'GCP Enrichment Done', 'Done', 'Gsuite Customer ID exists?', 'Foundation - Error Handling']"
1244,p1244,Palo_Cortex,SOC_Containment_Plan,This playbook handles the main containment actions available with Cortex XSIAM  including the following sub-playbooks:  \n* Containment Plan - Isolate endpoint\n * Containment Plan - Disable account\n* Containment Plan - Quarantine file\n* Containment Plan - Block indicators\n* Containment Plan - Clear user session (currently  the playbook supports only Okta)\n\nNote: The playbook inputs enable manipulating the execution flow. Read the input descriptions for details.,[],28,,,"['', 'Isolate Device', 'Disable Account', 'Quarantine File', 'Block Indicators', 'Clear User Sessions', 'Should containment automatically?', 'Which containment actions would you like to perform?', 'Containment', 'Done', 'Set Process list', 'The file path and file hash defined?', 'Foundation - Error Handling', 'SOC Containment Plan - Disable Account', 'SOC Containment Plan - Clear User Sessions', 'SOC Containment Plan - Block Indicators', 'SOC Containment Plan - Quarantine File', 'Disable Account?', 'Isolate Device?', 'Clear User Sessions?', 'Block Indicators', 'Quarantine File?', 'Miter Technique for user account disablement', 'Miter Technique for Isolation', 'Miter Technique for clearing user session', 'Suspicious Indicators found?', 'Quarantine file needed?', 'SOC Isolation Router']"
1245,p1245,Palo_Cortex,SOC_Containment_Plan_-_Block_Indicators,"## Containment Plan - Block Indicators\n\nThis playbook is a sub-playbook within the containment plan playbook.\n\n### Indicator Blocking\n\nThe playbook block indicators by two methods:\n\n1. It adds the malicious hashes into the XSIAM hash block list\n2. It utilizes the sub-playbook ""Block Indicators - Generic v3""",[],16,,,"['', 'Add to XSIAM hash block list', 'Done - Block Indicators', 'Should block indicators?', 'Set Block list files to the Alert context', 'Set Blocked Indicators to the Alert context', 'Is file hash exist?', 'Should block indicators automatically?', 'Is file hash exist?', 'Add to XSIAM hash block list', 'Set Block list files to the Alert context', 'Are there any indicators that are blocked?', 'Is the file hash was added to the block list?', 'Is the file hash was added to the block list?', 'SOC Block Indicators - Generic v3', 'Foundation - Error Handling']"
1246,p1246,Palo_Cortex,SOC_Containment_Plan_-_Clear_User_Sessions,## Containment Plan - Clear User Sessions\n\nThis playbook is a sub-playbook within the containment plan playbook.\nThe playbook uses the 'Okta v2' and 'MSGraph User' integrations to clear user sessions.,[],20,,,"['', 'Okta clear user sessions', 'Done', 'Get Okta user ID', 'Set the username to the Alert context', 'Set users to clear the session with Okta', 'Is Okta enabled?', 'Should clear the user sessions?', 'Is MsGraphUser enabled?', 'Get MsGraph user ID', 'MSGraph clear user sessions', 'Set the username to the Alert context', 'Does the username exist?', 'Does the username exist?', 'Set users to clear the session with MsGraph', 'Foundation - Error Handling', 'Shadow: MSGraph clear user sessions', 'Run Mode?', 'Run Mode?', 'Shadow: Okta clear user sessions']"
1247,p1247,Palo_Cortex,SOC_Containment_Plan_-_Disable_Account,"## Containment Plan - Disable Account\n\nThis playbook is a sub-playbook within the containment plan playbook.\nThe playbook disables users by utilizing the sub-playbook ""Block Account - Generic v2""",[],6,,,"['', 'Done', 'Set disabled users to the Alert context', 'Should disable the account?', 'Set users to disable', 'SOC Block Account - Generic v2']"
1248,p1248,Palo_Cortex,SOC_Containment_Plan_-_Isolate_Device,## Containment Plan - Isolate Device\n\nThis playbook is a sub-playbook within the containment plan playbook.\nThe playbook isolates devices using core commands.,[],14,,,"['', 'Auto endpoint isolation', 'Set Isolated endpoint ID to the Alert context', 'Done', 'Get endpoint info by endpoint ID', 'Set endpoint IDs to isolate', 'Should isolate the device?', 'Set Isolated endpoint ID to the Alert context', 'Is the endpoint ID or the endpoint name defined?', 'Get endpoint info by endpoint name', 'is the endpoint already isolated?', 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Palo XDR Isolate Endpoint']"
1249,p1249,Palo_Cortex,SOC_Containment_Plan_-_Quarantine_File,## Containment Plan - Quarantine File\n\nThis playbook is a sub-playbook within the containment plan playbook.\nThe playbook quarantines files using core commands.,[],18,,,"['', 'Done', 'Get file quarantine status', 'File quarantine', 'Set quarantine files per endpoints to the Alert context', 'Should quarantine file?', 'Was the file quarantined?', 'Set quarantine files to the context', 'Should isolate automatically?', 'Get file quarantine status', 'Should quarantine file?', 'File quarantine', 'Set file path to quarantine', 'Set file hash to quarantine', ""Manual action needed â€“ file couldn't be quarantined"", 'Foundation - Error Handling', 'Run Mode?', 'Shadow: Palo XDR File Qurantine']"
1250,p1250,Palo_Cortex,SOC_Cortex_XDR_-_Block_File,Use this playbook to add files to Cortex XDR block list with a given file SHA256 playbook input.,[],8,,,"['', 'Cortex XDR add a file SHA256 to block list', 'Is there a file to block?', 'Done', 'Is Cortex XDR integration enabled?', 'Run Mode?', 'Foundation - Error Handling', 'Cortex XDR Add file to SHA256 Block']"
1251,p1251,Palo_Cortex,SOC_CrowdStrike_Falcon_-_Block_File,"This playbook receives an MD5 or a SHA256 hash and adds it to the block list in CrowdStrike Falcon. \nThe playbook uses the integration ""CrowdStrike Falcon"".",[],13,,,"['', 'Is CrowdStrike enabled? ', 'Done', 'Block by SHA256', 'Block by MD5', 'Is there any file to block?', 'Has SHA256 Hashes?', 'Has MD5 Hashes?', 'Foundation - Error Handling', 'CrowdStrike Block by MD5', 'CrowdStrike Block by SHA256', 'Run Mode?', 'Run Mode?']"
1252,p1252,Palo_Cortex,SOC_Crowdstrike_Falcon_-_Isolate_Endpoint,This playbook will auto isolate endpoints by the device ID that was provided in the playbook.,[],10,,,"['', 'Is Crowdstrike Falcon  enabled?', 'Done', 'Is there Device ID?', 'Get device info', 'Is the device ready for isolation?', 'Isolate endpoint', 'Run Mode?', 'Shadow: CrowdStrike Falcon Isolate EndPoint', 'Foundation - Error Handling']"
1253,p1253,Palo_Cortex,SOC_Domain_Enrichment_-_Generic_v2,Enrich domains using one or more integrations.\nDomain enrichment includes:\n* Threat information\n* Domain reputation using !domain command,[],10,,,"['', 'Is there a domain to enrich?', 'Done', 'Get domain category', 'Is Cisco Umbrella Investigate enabled?', 'Domain Reputation', 'Cisco Umbrella enrichment', 'Should use !domain command?', 'Check Reputation', 'Foundation - Upon Trigger']"
1254,p1254,Palo_Cortex,SOC_Email_Address_Enrichment_-_Generic_v2.1,Enrich email addresses.\n- Get information from Active Directory for internal addresses\n- Get the domain-squatting reputation for external addresses\n- Email address reputation using !email command.,[],18,,,"['', 'Done', 'Are there email addresses to check?', 'Classify email addresses as internal or external', 'Internal', 'External', 'Get email address info from Active Directory', 'Are there any external email addresses?', 'Are there any internal email addresses?', 'Check email addresses for domain-squatting', 'Is Active Directory Query v2 enabled?', 'Is there a domain list input?', 'No Email Addresses', 'Should use !email command?', 'Check Reputation', 'Is EWS v2 enabled?', 'Get full contact info', 'Foundation - Error Handling']"
1255,p1255,Palo_Cortex,SOC_Endpoint_Enrichment_-_Cylance_Protect_v2,Enriches endpoints using the Cylance Protect v2 integration.,[],8,,,"['', 'Is Cylance Protect v2 enabled?', 'Get all Cylance Protect devices', 'Set enriched device details', 'Set device list', 'Was a device found?', 'Done', 'Foundation - Error Handling']"
1256,p1256,Palo_Cortex,SOC_Endpoint_Enrichment_-_Generic_v2.1,Enrich an endpoint by hostname using one or more integrations.\nSupported integrations:\n- Active Directory Query v2\n- McAfee ePO v2\n- VMware Carbon Black EDR v2\n- Cylance Protect v2\n- CrowdStrike Falcon\n- ExtraHop Reveal(x)\n- Cortex XDR / Core (endpoint enrichment  reputation and risk)\n- Endpoint reputation using !endpoint command.,[],32,,,"['', 'Endpoint Products', 'Is there an endpoint to enrich?', 'Done', 'Is Carbon Black Enterprise Response enabled?', 'Get host information from Carbon Black Enterprise Response', 'Is CrowdStrike Falcon enabled?', 'McAfee ePolicy Orchestrator', 'Carbon Black Enterprise Response', 'Cylance Protect v2', 'CrowdStrike Falcon', 'Is Active Directory Query v2 enabled?', 'Get host information from Active Directory', 'Active Directory', 'ExtraHop Reveal(x)', 'Is ExtraHop Reveal(x) enabled?', 'Get host information from ExtraHop Reveal(x)', 'is Mcafee ePolicy Orchestrator v2 enabled', 'Get- host information from McAfee ePO v2', 'Endpoint Reputation', 'Should use !endpoint command?', 'Check Reputation', 'Crowdstrike Search device', 'Is Cortex XDR enabled?', 'Cortex XDR / Core IR', 'Cortex XDR Search device', 'Cortex XDR get endpoint risk score', 'Is Cortex Core - IR integration enabled?', 'Core IR Search device', 'Core IR get endpoint risk score', 'Foundation - Error Handling', 'SOC Endpoint Enrichment - Cylance Protect v2']"
